genomes	checkm2_completeness	checkm2_contamination	checkm_completeness	checkm_contamination	genome_size	gtdb_taxonomy	ncbi_assembly_level	ncbi_assembly_name	ncbi_bioproject	ncbi_biosample	ncbi_country	ncbi_date	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_organism_name	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxonomy
GCF_000441655.1	99.65	0.04	98.92	0	1038797	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM44165v1	PRJNA224116	SAMN02603700	none	2013-07-26	none	full	na	none	Chlamydia trachomatis RC-J/943	943;RC-J	Oregon State University	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_001885175.1	99.29	0.08	96.76	0	1033342	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM188517v1	PRJNA224116	SAMN05991867	China: Qinghai	2016-11-22	none	full	na	none	Chlamydia trachomatis	QH111L	Beijing Institute of Microbiology and Epidemiology	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_002192615.1	99.65	0.04	98.92	0	1038827	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Chromosome	ASM219261v1	PRJNA224116	SAMN06239804	USA: Kansas	2017-06-13	none	full	Hefty_Parental	Mouse fibroblast; L929	Chlamydia trachomatis	Hefty_Parental;434Bu	University of Kansas	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_019669005.1	95.3	0.11	98.9	0	905723	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966900v1	PRJNA224116	SAMD00264459	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	Y15T1	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_009734065.1	98.22	0.11	98.9	0	904129	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM973406v1	PRJNA224116	SAMN13351967	Czech Republic: Prague	2019-12-07	none	full	na	eggs of a naturally infected Ixodes ricinus tick	Borrelia miyamotoi	CZ-F1E	Masaryk University, Faculty of Medicine	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_019668925.1	95.3	0.11	98.9	0	905843	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966892v1	PRJNA224116	SAMD00264458	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	Y14T1	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_004353405.1	97.82	0.57	98.9	0.03	1398278	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Chromosome	ASM435340v1	PRJNA224116	SAMN10979511	Russia: Yekaterinburg	2019-03-10	none	full	na	patient s blood plasma	Borrelia miyamotoi	Yekat-31	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_019668645.1	95.33	0.11	98.9	0	905872	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966864v1	PRJNA224116	SAMD00264453	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	MYK4	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_027286225.1	97.73	0.1	98.49	0	1357715	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM2728622v1	PRJNA224116	SAMN32260476	USA: Rhode Island	2022-12-26	none	full	na	blood of patient with fever after tick-bite innoculated in SCID mouse; and isolated in MKP-F culture	Borrelia miyamotoi	1999	AMC (Amsterdam, The Netherlands) and CRIE (Moscow, Russia)	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_019668505.1	95.32	0.11	98.9	0	906165	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966850v1	PRJNA224116	SAMD00264446	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	HT31	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_000441675.1	99.76	0.05	98.92	0	1038792	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM44167v1	PRJNA224116	SAMN02603701	none	2013-07-26	none	full	na	none	Chlamydia trachomatis RC-J/953	RC-J;953	Oregon State University	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_004353425.2	98.15	0.32	98.9	0	1470017	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	CRIE_YEK21v5	PRJNA224116	SAMN10979510	Russia: Yekaterinburg	2023-03-10	none	full	na	patient s blood plasma	Borrelia miyamotoi	Yekat-21	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_019668685.1	95.31	0.11	98.9	0	906281	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966868v1	PRJNA224116	SAMD00264455	Mongolia	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	M12C4	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_019668625.1	95.33	0.11	98.9	0	905982	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966862v1	PRJNA224116	SAMD00264452	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	MYK3	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_002741765.2	97.37	0.25	98.9	0	1325401	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM274176v2	PRJNA224116	SAMN07572566	Russia: Yekaterinburg	2023-02-17	none	full	na	patient s blood plasma	Borrelia miyamotoi	Yekat-6	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_009734045.1	98.21	0.11	98.9	0	904095	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM973404v1	PRJNA224116	SAMN13351968	Czech Republic: Serkovice	2019-12-07	none	full	na	eggs of a naturally infected Ixodes ricinus tick	Borrelia miyamotoi	CZ-F190E	Masaryk University, Faculty of Medicine	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_000318885.1	99.65	0.04	98.92	0	1038839	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM31888v1	PRJNA224116	SAMEA767949	none	2012-03-13	none	full	na	none	Chlamydia trachomatis L2/25667R	L2;25667R	Sanger Institute	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_004353445.2	97.95	0.26	98.9	0	1396662	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	CRIE_YEK19v5	PRJNA224116	SAMN10979509	Russia: Yekaterinburg	2023-03-10	none	full	na	patient s blood plasma	Borrelia miyamotoi	Yekat-19	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_027286125.1	97.98	0.18	98.49	0	1337417	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM2728612v1	PRJNA224116	SAMN32260473	USA: Rhode Island	2022-12-26	none	full	na	blood of patient with fever after tick-bite innoculated in SCID mouse; and isolated in MKP-F culture	Borrelia miyamotoi	410	AMC (Amsterdam, The Netherlands) and CRIE (Moscow, Russia)	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_027286005.1	99.52	0.22	98.9	0	1539494	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM2728600v1	PRJNA224116	SAMN32260479	Germany	2022-12-26	none	full	na	Ixodes ricinus larvae cultured in MKP-F (human serum)	Borrelia miyamotoi	ZStrulll14-3	AMC (Amsterdam, The Netherlands) and CRIE (Moscow, Russia)	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_027286145.1	97.68	0.11	98.49	0	1340654	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM2728614v1	PRJNA224116	SAMN32260477	USA: Connecticut	2022-12-26	none	full	na	Ixodes scapularis tick isolate by feeding on SCID mouse and isolated from blood sample in BSK culture	Borrelia miyamotoi	LB-2001	AMC (Amsterdam, The Netherlands) and CRIE (Moscow, Russia)	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_002741665.3	98.31	0.29	98.9	0	1489212	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM274166v3	PRJNA224116	SAMN07572562	Russia: Izhevsk	2023-02-03	none	full	na	patient s blood plasma	Borrelia miyamotoi	Izh-5	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_000068525.2	99.65	0.04	98.92	0	1038863	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM6852v2	PRJNA224116	SAMEA1705954	none	2011-09-14	none	full	na	none	Chlamydia trachomatis L2b/UCH-1/proctitis	UCH-1	Welcome Trust Sanger Institute	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_002741805.2	98.16	0.29	98.9	0	1464580	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	CRIE_IZH16v5	PRJNA224116	SAMN07572564	Russia: Izhevsk	2023-02-17	none	full	na	patient s blood plasma	Borrelia miyamotoi	Izh-16	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_000445425.4	95.28	0.11	98.9	0	937966	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM44542v4	PRJNA224116	SAMN02604147	USA: CT	2015-11-04	none	full	na	blood of infected SCID mice	Borrelia miyamotoi LB-2001	LB-2001	University of California Irvine	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_027285985.1	97.91	0.26	98.9	0	1422053	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM2728598v1	PRJNA224116	SAMN32260478	Japan	2022-12-26	none	full	na	Ixodes persulcatus cultured in BSK-II media	Borrelia miyamotoi	HT-31	AMC (Amsterdam, The Netherlands) and CRIE (Moscow, Russia)	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
